Numer pomiaru, q1, q2, q3, x, y, z, u1, u2, u3
1, 0.000000, -1.570000, -1.570000, -0.018000, -0.000000, 0.123852, -0.000000, 0.075176, -0.024802
2, 0.000000, -1.570000, -1.490000, -0.017441, -0.000000, 0.110427, 0.000000, 0.075258, -0.024719
3, 0.000000, -1.570000, -1.410000, -0.015811, -0.000000, 0.097090, 0.000000, 0.075499, -0.024479
4, 0.000000, -1.570000, -1.330000, -0.013121, -0.000000, 0.083926, 0.000000, 0.075896, -0.024082
5, 0.000000, -1.570000, -1.250000, -0.009387, -0.000000, 0.071018, -0.000000, 0.076447, -0.023530
6, 0.000000, -1.570000, -1.170000, -0.004634, -0.000000, 0.058451, -0.000000, 0.077149, -0.022829
7, 0.000000, -1.570000, -1.090000, 0.001109, 0.000000, 0.046303, 0.000000, 0.077997, -0.021981
8, 0.000000, -1.570000, -1.010000, 0.007803, 0.000000, 0.034654, 0.000000, 0.078985, -0.020992
9, 0.000000, -1.570000, -0.930000, 0.015408, 0.000000, 0.023576, -0.000000, 0.080108, -0.019870
10, 0.000000, -1.570000, -0.850000, 0.023873, 0.000000, 0.013142, -0.000000, 0.081358, -0.018620
11, 0.000000, -1.570000, -0.770000, 0.033145, 0.000000, 0.003417, 0.000000, 0.082727, -0.017251
12, 0.000000, -1.570000, -0.690000, 0.043165, 0.000000, -0.005535, -0.000000, 0.084206, -0.015772
13, 0.000000, -1.570000, -0.610000, 0.053868, 0.000000, -0.013658, -0.000000, 0.085786, -0.014192
14, 0.000000, -1.570000, -0.530000, 0.065186, 0.000000, -0.020900, -0.000000, 0.087457, -0.012521
15, 0.000000, -1.570000, -0.450000, 0.077046, 0.000000, -0.027214, -0.000000, 0.089208, -0.010770
16, 0.000000, -1.570000, -0.370000, 0.089373, 0.000000, -0.032560, -0.000000, 0.091027, -0.008950
17, 0.000000, -1.570000, -0.290000, 0.102088, 0.000000, -0.036904, -0.000000, 0.092905, -0.007073
18, 0.000000, -1.570000, -0.210000, 0.115110, 0.000000, -0.040218, 0.000000, 0.094827, -0.005151
19, 0.000000, -1.570000, -0.130000, 0.128354, 0.000000, -0.042480, 0.000000, 0.096782, -0.003196
20, 0.000000, -1.570000, -0.050000, 0.141737, 0.000000, -0.043677, -0.000000, 0.098758, -0.001220
21, 0.000000, -1.570000, 0.030000, 0.155173, 0.000000, -0.043801, 0.000000, 0.100741, 0.000764
22, 0.000000, -1.570000, 0.110000, 0.168576, 0.000000, -0.042850, 0.000000, 0.102720, 0.002742
23, 0.000000, -1.570000, 0.190000, 0.181860, 0.000000, -0.040832, -0.000000, 0.104681, 0.004703
24, 0.000000, -1.570000, 0.270000, 0.194940, 0.000000, -0.037758, 0.000000, 0.106612, 0.006634
25, 0.000000, -1.570000, 0.350000, 0.207732, 0.000000, -0.033649, -0.000000, 0.108501, 0.008523
26, 0.000000, -1.570000, 0.430000, 0.220156, 0.000000, -0.028531, 0.000000, 0.110335, 0.010357
27, 0.000000, -1.570000, 0.510000, 0.232130, 0.000000, -0.022436, -0.000000, 0.112103, 0.012125
28, 0.000000, -1.570000, 0.590000, 0.243580, 0.000000, -0.015404, 0.000000, 0.113793, 0.013815
29, 0.000000, -1.570000, 0.670000, 0.254430, 0.000000, -0.007479, -0.000000, 0.115395, 0.015417
30, 0.000000, -1.570000, 0.750000, 0.264613, 0.000000, 0.001287, -0.000000, 0.116898, 0.016920
31, 0.000000, -1.570000, 0.830000, 0.274063, 0.000000, 0.010839, -0.000000, 0.118293, 0.018315
32, 0.000000, -1.570000, 0.910000, 0.282719, 0.000000, 0.021116, 0.000000, 0.119571, 0.019593
33, 0.000000, -1.570000, 0.990000, 0.290526, 0.000000, 0.032051, 0.000000, 0.120724, 0.020746
34, 0.000000, -1.570000, 1.070000, 0.297434, 0.000000, 0.043576, -0.000000, 0.121743, 0.021766
35, 0.000000, -1.570000, 1.150000, 0.303399, 0.000000, 0.055616, 0.000000, 0.122624, 0.022646
36, 0.000000, -1.570000, 1.230000, 0.308383, 0.000000, 0.068094, -0.000000, 0.123360, 0.023382
37, 0.000000, -1.570000, 1.310000, 0.312353, 0.000000, 0.080930, 0.000000, 0.123946, 0.023968
38, 0.000000, -1.570000, 1.390000, 0.315286, 0.000000, 0.094043, -0.000000, 0.124379, 0.024401
39, 0.000000, -1.570000, 1.470000, 0.317161, 0.000000, 0.107347, -0.000000, 0.124656, 0.024678
40, 0.000000, -1.570000, 1.550000, 0.317966, 0.000000, 0.120760, -0.000000, 0.124775, 0.024797
41, 0.000000, -1.490000, -1.570000, -0.017930, -0.000000, 0.122414, -0.000003, 0.073652, -0.024615
42, 0.000000, -1.490000, -1.490000, -0.016301, -0.000000, 0.109077, -0.000000, 0.076961, -0.024479
43, 0.000000, -1.490000, -1.410000, -0.013610, -0.000000, 0.095912, 0.000000, 0.077358, -0.024082
44, 0.000000, -1.490000, -1.330000, -0.009877, -0.000000, 0.083005, 0.000000, 0.077909, -0.023530
45, 0.000000, -1.490000, -1.250000, -0.005123, -0.000000, 0.070438, 0.000000, 0.078611, -0.022829
46, 0.000000, -1.490000, -1.170000, 0.000619, 0.000000, 0.058290, 0.000000, 0.079459, -0.021981
47, 0.000000, -1.490000, -1.090000, 0.007314, 0.000000, 0.046640, 0.000000, 0.080447, -0.020992
48, 0.000000, -1.490000, -1.010000, 0.014919, 0.000000, 0.035563, -0.000000, 0.081570, -0.019870
49, 0.000000, -1.490000, -0.930000, 0.023384, 0.000000, 0.025129, 0.000000, 0.082820, -0.018620
50, 0.000000, -1.490000, -0.850000, 0.032656, 0.000000, 0.015404, 0.000000, 0.084188, -0.017251
51, 0.000000, -1.490000, -0.770000, 0.042676, 0.000000, 0.006452, 0.000000, 0.085668, -0.015772
52, 0.000000, -1.490000, -0.690000, 0.053379, 0.000000, -0.001671, 0.000000, 0.087248, -0.014192
53, 0.000000, -1.490000, -0.610000, 0.064697, 0.000000, -0.008913, 0.000000, 0.088919, -0.012521
54, 0.000000, -1.490000, -0.530000, 0.076557, 0.000000, -0.015227, 0.000000, 0.090669, -0.010770
55, 0.000000, -1.490000, -0.450000, 0.088884, 0.000000, -0.020573, 0.000000, 0.092489, -0.008950
56, 0.000000, -1.490000, -0.370000, 0.101599, 0.000000, -0.024917, 0.000000, 0.094366, -0.007073
57, 0.000000, -1.490000, -0.290000, 0.114620, 0.000000, -0.028231, 0.000000, 0.096289, -0.005151
58, 0.000000, -1.490000, -0.210000, 0.127865, 0.000000, -0.030493, 0.000000, 0.098244, -0.003196
59, 0.000000, -1.490000, -0.130000, 0.141248, 0.000000, -0.031690, 0.000000, 0.100220, -0.001220
60, 0.000000, -1.490000, -0.050000, 0.154684, 0.000000, -0.031814, 0.000000, 0.102203, 0.000764
61, 0.000000, -1.490000, 0.030000, 0.168086, 0.000000, -0.030864, -0.000000, 0.104182, 0.002742
62, 0.000000, -1.490000, 0.110000, 0.181370, 0.000000, -0.028845, 0.000000, 0.106143, 0.004703
63, 0.000000, -1.490000, 0.190000, 0.194450, 0.000000, -0.025772, -0.000000, 0.108074, 0.006634
64, 0.000000, -1.490000, 0.270000, 0.207243, 0.000000, -0.021662, 0.000000, 0.109963, 0.008523
65, 0.000000, -1.490000, 0.350000, 0.219667, 0.000000, -0.016544, 0.000000, 0.111797, 0.010357
66, 0.000000, -1.490000, 0.430000, 0.231641, 0.000000, -0.010449, 0.000000, 0.113565, 0.012125
67, 0.000000, -1.490000, 0.510000, 0.243090, 0.000000, -0.003417, 0.000000, 0.115255, 0.013815
68, 0.000000, -1.490000, 0.590000, 0.253941, 0.000000, 0.004507, 0.000000, 0.116857, 0.015417
69, 0.000000, -1.490000, 0.670000, 0.264124, 0.000000, 0.013274, 0.000000, 0.118360, 0.016920
70, 0.000000, -1.490000, 0.750000, 0.273573, 0.000000, 0.022826, 0.000000, 0.119755, 0.018315
71, 0.000000, -1.490000, 0.830000, 0.282229, 0.000000, 0.033103, 0.000000, 0.121033, 0.019593
72, 0.000000, -1.490000, 0.910000, 0.290036, 0.000000, 0.044038, -0.000000, 0.122185, 0.020746
73, 0.000000, -1.490000, 0.990000, 0.296945, 0.000000, 0.055563, -0.000000, 0.123205, 0.021766
74, 0.000000, -1.490000, 1.070000, 0.302910, 0.000000, 0.067603, 0.000000, 0.124086, 0.022646
75, 0.000000, -1.490000, 1.150000, 0.307893, 0.000000, 0.080080, 0.000000, 0.124822, 0.023382
76, 0.000000, -1.490000, 1.230000, 0.311864, 0.000000, 0.092917, -0.000000, 0.125408, 0.023968
77, 0.000000, -1.490000, 1.310000, 0.314796, 0.000000, 0.106029, 0.000000, 0.125841, 0.024401
78, 0.000000, -1.490000, 1.390000, 0.316671, 0.000000, 0.119334, 0.000000, 0.126118, 0.024678
79, 0.000000, -1.490000, 1.470000, 0.317477, 0.000000, 0.132747, 0.000000, 0.126237, 0.024797
80, 0.000000, -1.490000, 1.550000, 0.317208, 0.000000, 0.146180, -0.000000, 0.126197, 0.024757
81, 0.000000, -1.410000, -1.570000, -0.017746, -0.000000, 0.120986, -0.000008, 0.073047, -0.024318
82, 0.000000, -1.410000, -1.490000, -0.015056, -0.000000, 0.107822, -0.000000, 0.078171, -0.024082
83, 0.000000, -1.410000, -1.410000, -0.011322, -0.000000, 0.094915, 0.000000, 0.078722, -0.023530
84, 0.000000, -1.410000, -1.330000, -0.006569, -0.000000, 0.082347, 0.000000, 0.079424, -0.022829
85, 0.000000, -1.410000, -1.250000, -0.000826, -0.000000, 0.070199, 0.000000, 0.080273, -0.021981
86, 0.000000, -1.410000, -1.170000, 0.005868, 0.000000, 0.058550, 0.000000, 0.081260, -0.020992
87, 0.000000, -1.410000, -1.090000, 0.013473, 0.000000, 0.047472, -0.000000, 0.082383, -0.019870
88, 0.000000, -1.410000, -1.010000, 0.021938, 0.000000, 0.037038, -0.000000, 0.083633, -0.018620
89, 0.000000, -1.410000, -0.930000, 0.031210, 0.000000, 0.027314, -0.000000, 0.085001, -0.017251
90, 0.000000, -1.410000, -0.850000, 0.041230, 0.000000, 0.018361, -0.000000, 0.086481, -0.015772
91, 0.000000, -1.410000, -0.770000, 0.051933, 0.000000, 0.010238, -0.000000, 0.088061, -0.014192
92, 0.000000, -1.410000, -0.690000, 0.063251, 0.000000, 0.002996, 0.000000, 0.089731, -0.012521
93, 0.000000, -1.410000, -0.610000, 0.075111, 0.000000, -0.003318, -0.000000, 0.091482, -0.010770
94, 0.000000, -1.410000, -0.530000, 0.087438, 0.000000, -0.008664, -0.000000, 0.093302, -0.008950
95, 0.000000, -1.410000, -0.450000, 0.100153, 0.000000, -0.013008, 0.000000, 0.095179, -0.007073
96, 0.000000, -1.410000, -0.370000, 0.113175, 0.000000, -0.016321, 0.000000, 0.097102, -0.005151
97, 0.000000, -1.410000, -0.290000, 0.126419, 0.000000, -0.018584, 0.000000, 0.099057, -0.003196
98, 0.000000, -1.410000, -0.210000, 0.139802, 0.000000, -0.019781, 0.000000, 0.101033, -0.001220
99, 0.000000, -1.410000, -0.130000, 0.153238, 0.000000, -0.019905, -0.000000, 0.103016, 0.000764
100, 0.000000, -1.410000, -0.050000, 0.166641, 0.000000, -0.018954, 0.000000, 0.104995, 0.002742
101, 0.000000, -1.410000, 0.030000, 0.179925, 0.000000, -0.016936, 0.000000, 0.106956, 0.004703
102, 0.000000, -1.410000, 0.110000, 0.193005, 0.000000, -0.013862, -0.000000, 0.108887, 0.006634
103, 0.000000, -1.410000, 0.190000, 0.205798, 0.000000, -0.009753, 0.000000, 0.110776, 0.008523
104, 0.000000, -1.410000, 0.270000, 0.218221, 0.000000, -0.004635, 0.000000, 0.112610, 0.010357
105, 0.000000, -1.410000, 0.350000, 0.230196, 0.000000, 0.001460, 0.000000, 0.114378, 0.012125
106, 0.000000, -1.410000, 0.430000, 0.241645, 0.000000, 0.008492, 0.000000, 0.116068, 0.013815
107, 0.000000, -1.410000, 0.510000, 0.252496, 0.000000, 0.016417, 0.000000, 0.117670, 0.015417
108, 0.000000, -1.410000, 0.590000, 0.262678, 0.000000, 0.025183, 0.000000, 0.119173, 0.016920
109, 0.000000, -1.410000, 0.670000, 0.272128, 0.000000, 0.034735, -0.000000, 0.120568, 0.018315
110, 0.000000, -1.410000, 0.750000, 0.280784, 0.000000, 0.045012, 0.000000, 0.121846, 0.019593
111, 0.000000, -1.410000, 0.830000, 0.288591, 0.000000, 0.055948, 0.000000, 0.122998, 0.020746
